datetime,temperature,humidity,leafwet
20230510 1200,26.5,41.3,0.6
20230510 1300,28.2,33.1,0
20230510 1400,29.6,30.2,0
20230510 1500,29.4,25.4,0
20230510 1600,29.9,30.8,0
20230510 1700,27.7,36.5,0
20230510 1800,25.6,41.7,0
20230510 1900,19.6,51.1,0
20230510 2000,14.5,72.8,0.7
20230510 2100,12.8,80.5,0.8
20230510 2200,12.2,81.5,0.8
20230510 2300,11.1,83.7,1.3
20230511 0000,10.3,85.6,2.7
20230511 0100,9.4,89.5,11.6
20230511 0200,9.2,91.7,14.9
20230511 0300,9.2,93.3,15
20230511 0400,8.8,94.4,15
20230511 0500,8.1,94.7,15
20230511 0600,8.5,95.3,15
20230511 0700,13.4,95.8,1.9
20230511 0800,17.7,67.7,0.6
20230511 0900,21.4,58,0.6
20230511 1000,26.7,40.2,0
20230511 1100,29,35.6,0
20230511 1200,29.4,29.8,0
20230511 1300,28.8,32.3,0
20230511 1400,30.9,27,0
20230511 1500,29.9,29.4,0
20230511 1600,30.5,25.7,0
20230511 1700,29.1,27.3,0
