datetime,temperature,humidity,leafwet
20230417 1200,21.6,43.8,0
20230417 1300,21.9,42.1,0
20230417 1400,22,36.7,0.6
20230417 1500,23.9,29.3,0
20230417 1600,23.3,30.6,0
20230417 1700,21.7,32.6,0
20230417 1800,19.9,46.1,0
20230417 1900,16,60.4,0
20230417 2000,13.4,68.6,0
20230417 2100,13.3,73.4,0.6
20230417 2200,13.1,74.2,0.6
20230417 2300,11.7,75.5,0.7
20230418 0000,12,78.1,0.7
20230418 0100,12.7,77.8,0.7
20230418 0200,13.1,78.9,0.7
20230418 0300,13,82.2,0.9
20230418 0400,13.2,81.7,0.9
20230418 0500,13.7,70.9,0.6
20230418 0600,15.4,69.4,0.7
20230418 0700,15.9,78.9,0.8
20230418 0800,16,82.6,0.9
20230418 0900,16.7,81.1,0.8
20230418 1000,15.7,88.7,3.3
20230418 1100,14.7,91.5,4
20230418 1200,15.7,91.2,1.7
20230418 1300,16.3,90.5,1.6
20230418 1400,15.2,92.2,2.9
20230418 1500,15.4,92,2.3
20230418 1600,16,92.4,2.3
20230418 1700,15.3,91.8,5.6
20230418 1800,15.5,92.2,5.1
20230418 1900,14.6,93.2,14.8
20230418 2000,14.1,94.7,15
20230418 2100,14,95.8,15
20230418 2200,14.1,96.6,15
20230418 2300,13.1,96.7,15
20230419 0000,13.5,97.5,15
20230419 0100,13.6,97.8,15
20230419 0200,13.7,98,15
20230419 0300,13.3,98.1,15
20230419 0400,13,98.2,15
20230419 0500,11.3,98.4,15
20230419 0600,12.5,98.6,15
20230419 0700,14.6,97.8,6.6
20230419 0800,19.7,83.5,1
20230419 0900,19.1,77.8,0.8
20230419 1000,22.4,61.9,0.6
20230419 1100,26.3,47.2,0.6
20230419 1200,28.3,43.2,0.6
20230419 1300,30.4,40.4,0.6
20230419 1400,29.9,39.8,0
20230419 1500,30,38.3,0
20230419 1600,29.1,46.9,0
20230419 1700,26.2,60.8,0.6
20230419 1800,24.2,68.1,0.6
20230419 1900,21.4,80.9,15
20230419 2000,20.2,83.8,3
